Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Net Job Change,Percent Job Change,AI Impact Score,Career Stability Index,Median Salary Norm,High-Opportunity Career Score
Publishing Rights Manager,Education,Decreasing,Moderate,117912.14,Master’S Degree,11,2038,4300,35.67,12.15,Uk,44.76,2262,110.99,2,97.51,0.73,0.93
Emergency Planning/Management Officer,Finance,Increasing,Low,88149.45,High School,3,6601,1038,32.63,74.0,Canada,61.91,-5563,-84.28,1,-21.91,0.48,-0.11
Retail Buyer,Manufacturing,Increasing,Moderate,97147.89,High School,8,2527,8593,49.37,73.57,Australia,33.82,6066,240.05,2,63.44,0.56,1.21
Audiological Scientist,Finance,Decreasing,Low,42496.5,Phd,20,8423,1745,70.77,45.25,Uk,72.87,-6678,-79.28,1,-43.41,0.1,-0.12
Clothing/Textile Technologist,Education,Decreasing,High,83896.76,Master’S Degree,13,7630,4757,40.0,69.54,Brazil,78.37,-2873,-37.65,3,-11.47,0.45,0.08
"Producer, Radio",Education,Increasing,High,60291.15,Bachelor’S Degree,13,9881,9182,31.94,83.85,Usa,54.42,-699,-7.07,3,-1.14,0.25,0.1
"Administrator, Local Government",Healthcare,Decreasing,Low,38808.48,High School,3,7999,762,76.62,88.23,Germany,34.06,-7237,-90.47,1,-10.65,0.07,-0.3
Patent Examiner,Education,Increasing,High,115079.82,Master’S Degree,9,6667,8502,58.69,17.95,Uk,24.29,1835,27.52,3,22.58,0.71,0.57
Museum/Gallery Exhibitions Officer,Education,Decreasing,Low,149247.72,Associate Degree,20,1654,4129,97.41,18.18,Brazil,42.65,2475,149.64,1,122.43,0.99,1.14
Technical Sales Engineer,Manufacturing,Decreasing,Moderate,38985.55,High School,2,6571,9527,59.17,24.4,China,62.38,2956,44.99,2,34.01,0.07,0.43
Interior And Spatial Designer,Entertainment,Decreasing,Low,131739.5,Phd,8,9247,2658,8.26,14.16,India,60.68,-6589,-71.26,1,-61.17,0.85,0.23
Health Visitor,Finance,Increasing,High,76046.8,High School,8,6334,2703,42.34,95.46,Usa,75.19,-3631,-57.33,3,-2.6,0.38,-0.1
Chiropractor,Education,Increasing,Low,96986.04,High School,5,3612,6973,56.4,13.51,Usa,45.27,3361,93.05,1,80.48,0.56,0.8
Economist,Transportation,Decreasing,Moderate,123513.88,Phd,5,3883,3796,53.82,84.11,India,69.61,-87,-2.24,2,-0.36,0.78,0.27
Cytogeneticist,Entertainment,Decreasing,High,133345.75,Bachelor’S Degree,5,7840,1673,20.09,6.78,Brazil,69.7,-6167,-78.66,3,-73.33,0.86,0.22
"Engineer, Biomedical",Retail,Decreasing,Moderate,54797.95,Phd,12,7382,2463,75.29,58.06,Brazil,55.47,-4919,-66.64,2,-27.95,0.21,-0.08
Data Scientist,Retail,Increasing,Low,87548.33,Associate Degree,2,9345,1782,78.97,74.84,Canada,30.47,-7563,-80.93,1,-20.36,0.48,-0.1
Housing Manager/Officer,Retail,Decreasing,Moderate,140169.75,Bachelor’S Degree,19,6673,5382,59.64,38.19,Germany,47.5,-1291,-19.35,2,-11.96,0.92,0.38
"Physicist, Medical",Finance,Increasing,Moderate,70517.79,Associate Degree,18,8563,397,15.3,87.72,Australia,49.58,-8166,-95.36,2,-11.71,0.34,-0.24
"Psychotherapist, Child",Finance,Decreasing,High,134264.36,Associate Degree,1,4672,2530,18.23,6.79,Australia,78.84,-2142,-45.85,3,-42.73,0.87,0.36
Editorial Assistant,Manufacturing,Decreasing,High,98928.49,High School,14,4886,2350,35.09,78.61,India,22.85,-2536,-51.9,3,-11.1,0.57,0.03
Personnel Officer,Finance,Decreasing,Moderate,55954.56,Master’S Degree,14,1471,6918,42.69,42.52,Canada,77.33,5447,370.29,2,212.84,0.22,1.72
"Presenter, Broadcasting",Manufacturing,Decreasing,High,114901.3,Associate Degree,4,8720,2628,73.94,38.5,Uk,62.2,-6092,-69.86,3,-42.97,0.71,0.12
"Radiographer, Diagnostic",Healthcare,Increasing,Low,82059.03,Associate Degree,1,9355,745,12.71,19.35,Germany,36.28,-8610,-92.04,1,-74.23,0.43,0.0
Field Seismologist,Education,Decreasing,Moderate,45427.71,Bachelor’S Degree,13,9406,905,38.39,73.6,Canada,24.48,-8501,-90.38,2,-23.86,0.13,-0.24
"Psychologist, Occupational",Manufacturing,Increasing,High,71754.08,Master’S Degree,14,8536,1153,95.63,11.54,China,79.55,-7383,-86.49,3,-76.51,0.35,0.02
Occupational Therapist,Entertainment,Increasing,Moderate,146622.17,Bachelor’S Degree,9,1370,6608,65.8,44.24,Brazil,35.0,5238,382.34,2,213.19,0.97,1.99
Hydrogeologist,Entertainment,Increasing,High,31205.83,Phd,19,135,422,51.1,68.94,Germany,35.06,287,212.59,3,66.03,0.01,0.95
"Conservator, Museum/Gallery",Entertainment,Decreasing,High,126112.1,Master’S Degree,16,7998,9443,30.17,18.08,Uk,56.58,1445,18.07,3,14.8,0.8,0.56
Retail Merchandiser,Entertainment,Increasing,High,39895.91,Bachelor’S Degree,1,6806,6780,62.26,31.83,Brazil,69.75,-26,-0.38,3,-0.26,0.08,0.23
"Research Officer, Trade Union",Transportation,Decreasing,High,74716.8,High School,14,6584,3708,47.58,88.1,Brazil,23.07,-2876,-43.68,3,-5.2,0.37,-0.03
Animal Technologist,Entertainment,Increasing,High,118088.44,Bachelor’S Degree,13,4342,1450,99.02,42.71,Usa,65.5,-2892,-66.61,3,-38.16,0.73,0.13
"Loss Adjuster, Chartered",Education,Increasing,High,100932.59,Bachelor’S Degree,17,486,8466,1.66,10.78,Usa,31.59,7980,1641.98,3,1464.97,0.59,7.01
"Engineer, Technical Sales",Transportation,Increasing,Low,138328.26,Bachelor’S Degree,19,1943,4591,21.96,83.1,Usa,68.63,2648,136.28,1,23.03,0.9,0.87
"Accountant, Chartered",It,Increasing,High,65570.34,High School,11,9882,2772,84.82,21.25,Australia,28.54,-7110,-71.95,3,-56.66,0.3,0.04
Tefl Teacher,Healthcare,Decreasing,Low,65927.82,Master’S Degree,10,1799,2921,18.9,17.93,Canada,57.66,1122,62.37,1,51.19,0.3,0.59
"Psychologist, Occupational",Entertainment,Increasing,Moderate,131167.34,Bachelor’S Degree,6,1853,822,19.65,51.82,Canada,55.49,-1031,-55.64,2,-26.81,0.84,0.17
Planning And Development Surveyor,Finance,Decreasing,High,88828.27,Master’S Degree,15,5116,2139,65.81,49.66,China,59.07,-2977,-58.19,3,-29.29,0.49,0.07
Location Manager,Entertainment,Increasing,Moderate,56996.98,Phd,4,1330,9308,2.6,16.07,Australia,72.44,7978,599.85,2,503.45,0.22,2.72
Administrator,Entertainment,Decreasing,Low,110995.94,Bachelor’S Degree,2,7975,6808,22.32,43.23,Usa,64.75,-1167,-14.63,1,-8.31,0.67,0.31
Paediatric Nurse,Finance,Decreasing,High,94083.15,Master’S Degree,14,6065,8422,25.82,34.04,Uk,20.57,2357,38.86,3,25.63,0.53,0.51
"Designer, Television/Film Set",Entertainment,Decreasing,High,139947.16,High School,12,586,7920,88.36,94.34,Brazil,27.41,7334,1251.54,3,70.84,0.92,5.3
Contracting Civil Engineer,Healthcare,Increasing,Low,98418.61,Phd,5,3940,1077,55.46,59.41,Usa,70.61,-2863,-72.66,1,-29.49,0.57,0.0
Research Scientist (Maths),Finance,Decreasing,High,47236.52,Bachelor’S Degree,9,7868,7340,27.75,44.31,Germany,50.67,-528,-6.71,3,-3.74,0.14,0.18
Further Education Lecturer,Education,Increasing,Moderate,115025.49,Master’S Degree,17,9644,6158,8.19,45.32,Usa,47.36,-3486,-36.15,2,-19.77,0.71,0.23
Neurosurgeon,It,Decreasing,Low,108442.8,High School,13,5959,2692,54.48,19.45,Australia,67.24,-3267,-54.82,1,-44.16,0.65,0.22
Historic Buildings Inspector/Conservation Officer,Transportation,Decreasing,Moderate,98003.14,Phd,1,6826,4654,87.28,67.8,India,58.77,-2172,-31.82,2,-10.25,0.57,0.14
Product/Process Development Scientist,It,Increasing,High,119101.5,Phd,13,8581,8673,88.23,35.42,Australia,77.76,92,1.07,3,0.69,0.74,0.42
Health Visitor,Entertainment,Decreasing,Moderate,74425.98,Master’S Degree,4,8310,1906,48.24,99.84,Brazil,26.87,-6404,-77.06,2,-0.12,0.37,-0.2
Systems Developer,Education,Decreasing,Low,115304.59,Bachelor’S Degree,15,226,9491,77.89,95.01,China,46.67,9265,4099.56,1,204.57,0.71,16.63
Early Years Teacher,Transportation,Increasing,High,124078.68,Bachelor’S Degree,3,948,3056,9.35,22.43,Australia,29.86,2108,222.36,3,172.49,0.78,1.36
"Radiographer, Diagnostic",Manufacturing,Increasing,Moderate,75842.19,Associate Degree,15,1984,7825,80.48,16.59,China,57.16,5841,294.41,2,245.56,0.38,1.54
Lexicographer,Transportation,Decreasing,Low,66255.92,Associate Degree,7,7798,531,60.22,76.47,Brazil,46.88,-7267,-93.19,1,-21.93,0.3,-0.21
Restaurant Manager,Manufacturing,Decreasing,Low,33290.43,Phd,19,2349,9680,62.26,56.2,India,38.73,7331,312.09,1,136.7,0.03,1.39
"Scientist, Research (Life Sciences)",Finance,Decreasing,Low,141436.02,Phd,8,9862,5471,62.06,95.13,Canada,75.81,-4391,-44.52,1,-2.17,0.93,0.12
Network Engineer,Finance,Increasing,Low,138519.92,Master’S Degree,11,4389,2707,77.83,19.22,India,65.47,-1682,-38.32,1,-30.96,0.9,0.36
Archaeologist,Retail,Decreasing,Low,46486.61,Bachelor’S Degree,13,6564,6672,74.47,98.34,Usa,35.03,108,1.65,1,0.03,0.14,0.05
Paediatric Nurse,Finance,Decreasing,Low,78111.64,Phd,8,4928,9311,6.12,4.74,Usa,67.78,4383,88.94,1,84.72,0.4,0.76
Airline Pilot,Entertainment,Decreasing,Moderate,134226.1,High School,20,722,4441,5.43,62.17,Uk,60.3,3719,515.1,2,194.86,0.87,2.43
"Accountant, Chartered Public Finance",Healthcare,Increasing,Moderate,96621.14,High School,2,6761,3379,4.17,59.07,Australia,71.5,-3382,-50.02,2,-20.47,0.56,0.09
"Radiographer, Diagnostic",Manufacturing,Decreasing,High,114542.14,High School,17,9961,6741,45.79,61.05,China,37.49,-3220,-32.33,3,-12.59,0.7,0.2
Police Officer,Retail,Increasing,Low,127332.42,Phd,19,466,7267,13.61,34.56,Uk,40.19,6801,1459.44,1,955.06,0.81,6.28
Ambulance Person,Healthcare,Increasing,Low,130617.18,Bachelor’S Degree,19,3585,8865,30.24,76.12,China,39.26,5280,147.28,1,35.17,0.84,0.91
Multimedia Programmer,Healthcare,Increasing,Moderate,141211.75,Master’S Degree,10,5388,3674,91.32,94.06,Canada,23.93,-1714,-31.81,2,-1.89,0.93,0.17
Artist,It,Decreasing,Low,86337.06,Master’S Degree,11,8754,9420,52.55,95.83,Uk,75.44,666,7.61,1,0.32,0.47,0.18
Firefighter,Entertainment,Increasing,Moderate,38267.98,Bachelor’S Degree,18,5034,3446,30.47,15.11,India,73.93,-1588,-31.55,2,-26.78,0.07,0.15
"Teacher, Early Years/Pre",Healthcare,Decreasing,Moderate,100048.96,Bachelor’S Degree,6,5907,6896,9.0,16.3,Usa,52.25,989,16.74,2,14.01,0.58,0.49
Purchasing Manager,Manufacturing,Increasing,High,103385.93,Master’S Degree,19,3210,410,63.87,50.72,Canada,63.12,-2800,-87.23,3,-42.99,0.61,-0.02
Copy,Transportation,Decreasing,Low,80802.35,Master’S Degree,4,8503,313,90.09,68.65,India,58.97,-8190,-96.32,1,-30.2,0.42,-0.16
Environmental Consultant,Healthcare,Increasing,Moderate,72517.21,Phd,11,1904,6071,43.74,2.69,China,69.17,4167,218.86,2,212.97,0.35,1.27
Advertising Account Executive,Manufacturing,Decreasing,High,55236.14,High School,17,8438,354,77.3,92.96,Uk,20.28,-8084,-95.8,3,-6.74,0.21,-0.3
Art Therapist,Retail,Decreasing,Moderate,66567.27,High School,16,7447,8522,21.32,82.42,Australia,32.02,1075,14.44,2,2.54,0.3,0.2
Geochemist,Entertainment,Increasing,Low,42674.63,Bachelor’S Degree,1,1705,1017,81.58,87.09,Germany,75.83,-688,-40.35,1,-5.21,0.11,-0.09
Midwife,Manufacturing,Increasing,Moderate,124183.54,Bachelor’S Degree,5,5626,8559,12.17,27.74,Brazil,69.82,2933,52.13,2,37.67,0.78,0.66
Data Scientist,Entertainment,Decreasing,High,40578.31,Phd,4,8880,8806,68.19,87.41,Canada,49.78,-74,-0.83,3,-0.1,0.09,0.06
"Engineer, Building Services",Manufacturing,Increasing,High,89204.38,High School,12,6922,2660,82.17,64.19,Canada,78.82,-4262,-61.57,3,-22.05,0.49,0.01
Visual Merchandiser,Education,Decreasing,High,108979.47,Bachelor’S Degree,16,309,5295,22.34,46.74,Usa,30.01,4986,1613.59,3,859.4,0.66,6.81
Medical Laboratory Scientific Officer,Entertainment,Decreasing,High,67027.29,High School,0,6915,1591,33.26,44.9,Usa,40.65,-5324,-76.99,3,-42.42,0.31,-0.05
"Copywriter, Advertising",Healthcare,Increasing,Moderate,39040.69,Bachelor’S Degree,12,7190,3995,6.88,46.69,Canada,38.02,-3195,-44.44,2,-23.69,0.08,0.0
"Psychologist, Occupational",Transportation,Decreasing,High,132602.8,High School,0,6285,3215,34.07,44.61,Canada,34.64,-3070,-48.85,3,-27.06,0.86,0.23
Civil Service Administrator,Finance,Increasing,High,53646.43,Bachelor’S Degree,15,5111,6544,57.5,45.78,Germany,77.55,1433,28.04,3,15.2,0.2,0.33
Database Administrator,Retail,Decreasing,Low,98235.25,High School,12,7150,3016,39.34,95.58,India,46.34,-4134,-57.82,1,-2.56,0.57,-0.05
Television Production Assistant,Healthcare,Increasing,Moderate,90606.07,High School,15,8271,5141,67.35,98.84,Uk,56.25,-3130,-37.84,2,-0.44,0.51,0.0
Actor,It,Decreasing,High,93924.8,Bachelor’S Degree,20,8788,9506,4.95,23.39,Usa,56.49,718,8.17,3,6.26,0.53,0.42
Occupational Therapist,Transportation,Decreasing,Low,144832.38,Phd,3,7157,1692,80.63,71.15,Germany,72.53,-5465,-76.36,1,-22.03,0.96,0.07
Forensic Psychologist,Retail,Increasing,Low,147642.12,Master’S Degree,14,7404,7438,87.11,88.93,Usa,46.07,34,0.46,1,0.05,0.98,0.33
Adult Guidance Worker,It,Decreasing,Moderate,136212.88,Bachelor’S Degree,10,6595,7918,35.16,37.71,China,68.16,1323,20.06,2,12.5,0.89,0.53
Advice Worker,It,Increasing,High,77903.11,High School,18,2883,4456,71.06,11.96,Canada,74.87,1573,54.56,3,48.04,0.4,0.6
Sports Administrator,Education,Decreasing,Moderate,54161.11,Bachelor’S Degree,20,5408,4498,41.39,85.15,India,70.43,-910,-16.83,2,-2.5,0.2,0.04
"Teacher, Adult Education",Retail,Decreasing,Moderate,109451.97,Associate Degree,14,6071,8340,12.5,31.26,Brazil,32.18,2269,37.37,2,25.69,0.66,0.55
"Administrator, Sports",Education,Increasing,Moderate,88296.14,Master’S Degree,4,9136,9374,97.49,84.47,Usa,53.35,238,2.61,2,0.4,0.49,0.2
Chemical Engineer,Healthcare,Decreasing,High,79040.33,Phd,12,4913,7314,37.06,26.01,Australia,74.83,2401,48.87,3,36.16,0.41,0.54
Warden/Ranger,It,Decreasing,High,101487.85,Bachelor’S Degree,2,3042,202,89.69,69.58,India,41.91,-2840,-93.36,3,-28.4,0.6,-0.1
Event Organiser,Entertainment,Increasing,High,112205.4,Phd,13,9499,6903,1.49,67.47,Germany,34.73,-2596,-27.33,3,-8.89,0.69,0.19
Artist,Healthcare,Increasing,High,37528.91,Master’S Degree,0,6298,3663,80.05,79.35,Uk,32.8,-2635,-41.84,3,-8.64,0.06,-0.09
"Surveyor, Building Control",Retail,Decreasing,Moderate,48369.43,High School,8,6884,5067,68.54,13.95,Brazil,79.05,-1817,-26.39,2,-22.71,0.15,0.2
Health Visitor,Finance,Increasing,Moderate,79046.09,Bachelor’S Degree,20,5174,4689,63.85,15.17,Usa,31.1,-485,-9.37,2,-7.95,0.41,0.34
Geophysicist/Field Seismologist,It,Decreasing,Low,37388.09,Bachelor’S Degree,4,9292,1393,2.85,38.64,Uk,70.73,-7899,-85.01,1,-52.16,0.06,-0.14
Product Designer,Transportation,Increasing,High,120219.15,Bachelor’S Degree,13,7114,3533,83.35,39.8,Germany,72.85,-3581,-50.34,3,-30.3,0.75,0.2
Transport Planner,Manufacturing,Increasing,High,44280.05,Bachelor’S Degree,18,3242,5499,37.97,12.19,China,34.14,2257,69.62,3,61.13,0.12,0.58
Counsellor,Entertainment,Decreasing,High,140637.78,Associate Degree,9,8973,4457,43.34,26.75,India,61.38,-4516,-50.33,3,-36.87,0.92,0.3
Web Designer,It,Increasing,Low,55684.96,Associate Degree,0,5815,8311,27.85,19.34,China,66.67,2496,42.92,1,34.62,0.21,0.48
"Designer, Exhibition/Display",Entertainment,Decreasing,High,57427.25,Associate Degree,7,3900,134,99.32,67.45,Brazil,23.19,-3766,-96.56,3,-31.43,0.23,-0.22
Research Scientist (Maths),It,Decreasing,High,149254.5,Master’S Degree,4,824,8497,90.78,15.43,Usa,29.73,7673,931.19,3,787.51,0.99,4.28
Art Therapist,Finance,Decreasing,Low,144779.18,High School,17,4816,9095,62.72,22.72,China,57.46,4279,88.85,1,68.66,0.96,0.87
Lobbyist,It,Decreasing,Moderate,127933.78,Phd,18,8712,136,72.93,8.75,Uk,61.33,-8576,-98.44,2,-89.83,0.82,0.12
Art Gallery Manager,Manufacturing,Decreasing,Low,44070.95,Master’S Degree,8,4022,8988,38.01,16.53,Canada,37.53,4966,123.47,1,103.06,0.12,0.78
Personnel Officer,Retail,Decreasing,High,36607.87,Master’S Degree,11,4009,987,46.69,35.69,India,64.72,-3022,-75.38,3,-48.48,0.06,-0.09
Medical Sales Representative,Education,Decreasing,High,71272.19,Bachelor’S Degree,19,876,9201,35.85,72.56,Canada,50.2,8325,950.34,3,260.77,0.34,3.99
"Administrator, Charities/Voluntary Organisations",It,Decreasing,Low,52970.16,Master’S Degree,15,9058,7412,59.36,84.43,India,21.8,-1646,-18.17,1,-2.83,0.19,0.03
"Embryologist, Clinical",It,Decreasing,High,72359.69,Phd,15,8205,9847,43.05,14.14,Germany,79.81,1642,20.01,3,17.18,0.35,0.44
Theatre Stage Manager,Healthcare,Increasing,High,112490.42,Associate Degree,13,9912,7603,53.26,52.57,Canada,32.65,-2309,-23.29,3,-11.05,0.69,0.26
Clinical Biochemist,Finance,Increasing,High,108425.54,Associate Degree,17,4991,7873,76.95,42.59,Brazil,32.71,2882,57.74,3,33.15,0.65,0.6
"Surveyor, Insurance",It,Decreasing,Moderate,148734.53,Bachelor’S Degree,14,5118,7796,47.49,30.56,Usa,38.08,2678,52.33,2,36.33,0.99,0.71
Marketing Executive,Transportation,Increasing,High,109563.0,Master’S Degree,13,4248,9999,9.58,78.62,Brazil,67.78,5751,135.38,3,28.94,0.66,0.8
Social Worker,Transportation,Decreasing,High,84615.88,Phd,1,3468,3544,24.29,80.95,China,25.8,76,2.19,3,0.42,0.46,0.2
Clinical Embryologist,Transportation,Decreasing,Moderate,126289.52,Bachelor’S Degree,2,9457,2142,2.57,66.78,Uk,50.38,-7315,-77.35,2,-25.7,0.8,0.03
"Scientist, Research (Maths)",Healthcare,Decreasing,Low,121955.83,Phd,19,9029,1688,9.62,57.83,Uk,20.11,-7341,-81.3,1,-34.29,0.77,0.03
"Exhibitions Officer, Museum/Gallery",Manufacturing,Decreasing,Moderate,120114.55,High School,3,317,499,81.29,32.83,Germany,76.8,182,57.41,2,38.56,0.75,0.66
Heritage Manager,Transportation,Decreasing,High,124327.39,Associate Degree,7,5990,5321,22.07,36.93,Canada,20.86,-669,-11.17,3,-7.04,0.79,0.38
Patent Examiner,Finance,Increasing,Low,134556.44,Associate Degree,9,7847,2677,16.99,42.13,Usa,37.19,-5170,-65.89,1,-38.13,0.87,0.17
"Runner, Broadcasting/Film/Video",Healthcare,Increasing,High,93716.84,Bachelor’S Degree,7,4759,4598,71.48,27.63,Brazil,52.31,-161,-3.38,3,-2.45,0.53,0.36
Product/Process Development Scientist,Retail,Increasing,Low,56417.57,Phd,5,2258,5275,0.09,71.15,China,44.58,3017,133.61,1,38.55,0.22,0.69
Lobbyist,It,Decreasing,High,129117.52,High School,19,7484,6017,98.18,6.1,Canada,65.82,-1467,-19.6,3,-18.41,0.83,0.45
Actor,Education,Increasing,Moderate,123616.68,Associate Degree,17,3008,1458,98.34,76.24,China,58.87,-1550,-51.53,2,-12.24,0.78,0.1
Best Boy,Education,Increasing,Low,98708.3,Phd,6,8557,1732,84.22,24.63,Brazil,59.65,-6825,-79.76,1,-60.11,0.57,0.08
Horticultural Consultant,Retail,Increasing,High,111742.58,Associate Degree,3,7454,5827,13.12,72.88,Usa,73.57,-1627,-21.83,3,-5.92,0.68,0.2
"Therapist, Speech And Language",It,Increasing,High,40075.69,Associate Degree,9,2347,7373,62.91,2.68,Brazil,73.79,5026,214.15,3,208.41,0.08,1.17
Hospital Pharmacist,Transportation,Decreasing,Moderate,142508.74,High School,10,8497,7394,8.6,44.08,Canada,37.48,-1103,-12.98,2,-7.26,0.94,0.4
Armed Forces Logistics/Support/Administrative Officer,Retail,Increasing,Low,63042.31,Master’S Degree,7,6279,4857,71.46,67.61,Germany,54.37,-1422,-22.65,1,-7.34,0.28,0.09
Leisure Centre Manager,Finance,Increasing,Moderate,72965.68,Bachelor’S Degree,16,8531,8669,17.03,1.28,Canada,35.58,138,1.62,2,1.6,0.36,0.41
Museum/Gallery Curator,It,Decreasing,Moderate,85613.68,Master’S Degree,0,9618,1536,18.23,87.61,China,63.92,-8082,-84.03,2,-10.41,0.46,-0.16
"Accountant, Chartered Management",Finance,Increasing,High,52452.01,Bachelor’S Degree,2,2316,3420,25.59,73.69,Germany,53.25,1104,47.67,3,12.54,0.19,0.33
Games Developer,Entertainment,Decreasing,High,132295.66,Associate Degree,3,7459,9418,88.07,5.14,Brazil,27.91,1959,26.26,3,24.91,0.85,0.65
Public House Manager,It,Decreasing,High,109395.74,High School,12,5229,304,18.31,65.89,Uk,37.24,-4925,-94.19,3,-32.13,0.66,-0.08
"Therapist, Speech And Language",Finance,Increasing,Low,51409.47,Bachelor’S Degree,8,8417,3970,26.79,98.05,Usa,72.09,-4447,-52.83,1,-1.03,0.18,-0.15
Tourist Information Centre Manager,Finance,Decreasing,Low,110868.36,Phd,5,2814,4965,77.0,46.78,Uk,53.68,2151,76.44,1,40.68,0.67,0.67
Hydrographic Surveyor,It,Decreasing,High,130263.33,Bachelor’S Degree,2,5079,5116,31.33,45.83,Canada,28.19,37,0.73,3,0.39,0.84,0.42
"Engineer, Drilling",Education,Decreasing,High,149384.58,Master’S Degree,12,4274,3353,45.01,35.8,Brazil,24.01,-921,-21.55,3,-13.83,0.99,0.4
"Engineer, Mining",Finance,Increasing,High,125652.2,Phd,2,7106,6175,28.76,48.78,Germany,26.77,-931,-13.1,3,-6.71,0.8,0.34
Agricultural Consultant,Entertainment,Decreasing,Low,31077.76,Bachelor’S Degree,14,5916,6588,57.04,98.74,Germany,63.02,672,11.36,1,0.14,0.01,0.05
Industrial Buyer,Manufacturing,Increasing,Moderate,42988.59,High School,10,3882,8571,88.86,53.59,Uk,53.02,4689,120.79,2,56.06,0.11,0.65
Dealer,Finance,Decreasing,High,35153.66,Phd,10,594,5130,64.41,64.08,Uk,54.65,4536,763.64,3,274.3,0.04,3.18
Health And Safety Inspector,It,Increasing,Low,112525.84,Phd,12,1506,3672,4.56,25.95,Australia,77.38,2166,143.82,1,106.5,0.69,1.0
"Loss Adjuster, Chartered",Retail,Increasing,High,63206.1,High School,2,8476,7811,23.73,52.33,Brazil,79.73,-665,-7.85,3,-3.74,0.28,0.19
"Solicitor, Scotland",Transportation,Increasing,High,141516.36,Master’S Degree,9,3584,7159,66.0,57.73,China,53.2,3575,99.75,3,42.16,0.93,0.8
Seismic Interpreter,Entertainment,Decreasing,Low,89239.63,Master’S Degree,18,3032,2528,87.12,52.46,Australia,52.96,-504,-16.62,1,-7.9,0.49,0.22
Print Production Planner,Transportation,Decreasing,Moderate,97238.59,Phd,7,8689,4335,40.43,73.66,Australia,35.94,-4354,-50.11,2,-13.2,0.56,0.05
Colour Technologist,It,Decreasing,High,99263.26,Associate Degree,19,503,3182,66.27,20.67,India,44.4,2679,532.6,3,422.52,0.58,2.54
Tax Adviser,Entertainment,Increasing,Low,108213.26,Phd,10,2482,251,26.3,18.79,Canada,28.75,-2231,-89.89,1,-73.0,0.65,0.08
Brewing Technologist,Education,Increasing,Moderate,88979.33,High School,12,9722,6713,8.03,82.81,India,63.93,-3009,-30.95,2,-5.32,0.49,0.08
"Psychologist, Counselling",Manufacturing,Increasing,Moderate,123673.93,Phd,16,6766,4367,28.12,87.41,Germany,45.23,-2399,-35.46,2,-4.46,0.78,0.13
Building Surveyor,Manufacturing,Decreasing,High,65015.57,Bachelor’S Degree,19,7149,6612,95.5,9.3,China,41.93,-537,-7.51,3,-6.81,0.29,0.33
Operational Researcher,It,Decreasing,Moderate,31958.59,Associate Degree,1,8322,2956,89.01,18.9,China,66.78,-5366,-64.48,2,-52.29,0.02,-0.01
"Teacher, Secondary School",Entertainment,Increasing,Low,100910.01,Master’S Degree,4,4275,3557,26.97,69.1,China,70.05,-718,-16.8,1,-5.19,0.59,0.2
Aeronautical Engineer,Education,Decreasing,Moderate,51411.82,High School,15,9256,2208,76.94,30.9,Canada,65.38,-7048,-76.15,2,-52.62,0.18,-0.04
Animal Technologist,Finance,Increasing,High,133706.8,Master’S Degree,9,9287,3042,34.23,99.43,Usa,61.0,-6245,-67.24,3,-0.38,0.86,-0.01
Jewellery Designer,Manufacturing,Increasing,High,125257.28,High School,8,2377,6143,43.9,12.52,Brazil,35.04,3766,158.44,3,138.6,0.79,1.13
Clinical Biochemist,Education,Increasing,Moderate,35531.33,High School,19,562,7123,9.77,85.15,Australia,41.57,6561,1167.44,2,173.36,0.05,4.73
Quarry Manager,It,Decreasing,Low,30333.91,Bachelor’S Degree,17,9516,8774,22.86,37.56,Australia,26.84,-742,-7.8,1,-4.87,0.0,0.16
Sub,Entertainment,Increasing,Moderate,108943.16,Phd,16,535,8961,24.8,27.53,Australia,38.49,8426,1574.95,2,1141.37,0.66,6.71
Chartered Certified Accountant,Manufacturing,Increasing,Moderate,105818.07,Bachelor’S Degree,19,879,2045,73.04,67.59,Usa,71.27,1166,132.65,2,42.99,0.63,0.82
Theatre Manager,Manufacturing,Decreasing,Low,123856.0,Associate Degree,20,6366,2144,97.2,6.07,Australia,36.14,-4222,-66.32,1,-62.3,0.78,0.25
Field Trials Officer,Entertainment,Increasing,Low,63985.43,Bachelor’S Degree,8,4011,4923,35.2,31.97,Uk,40.15,912,22.74,1,15.47,0.28,0.38
Careers Information Officer,Finance,Increasing,Low,47131.41,High School,19,4881,5709,21.07,15.38,India,42.4,828,16.96,1,14.35,0.14,0.36
Dancer,It,Decreasing,Moderate,72223.88,Bachelor’S Degree,9,3366,5400,57.66,23.3,Brazil,33.83,2034,60.43,2,46.35,0.35,0.58
"Civil Engineer, Consulting",Manufacturing,Increasing,Low,31592.01,Associate Degree,7,9691,8556,16.54,19.86,Brazil,79.7,-1135,-11.71,1,-9.39,0.01,0.2
Chief Marketing Officer,Manufacturing,Increasing,Low,141059.98,Bachelor’S Degree,7,7426,3190,97.44,96.13,Brazil,40.01,-4236,-57.04,1,-2.21,0.93,0.06
Theatre Stage Manager,Healthcare,Increasing,High,74458.07,Associate Degree,19,4901,5870,63.26,32.91,Germany,20.38,969,19.77,3,13.26,0.37,0.39
Radio Producer,Finance,Increasing,High,53954.83,Bachelor’S Degree,19,9649,5396,72.09,90.43,Brazil,37.7,-4253,-44.08,3,-4.22,0.2,-0.09
